player_name,sticker,team,code_prefix,code_number,source_line
Darko Lazović,SRB11,Serbia,SRB,11,SRB11 Darko Lazović - Serbia
Saša Lukić,SRB12,Serbia,SRB,12,SRB12 Saša Lukić - Serbia
Nemanja Maksimović,SRB13,Serbia,SRB,13,SRB13 Nemanja Maksimović - Serbia
Sergej Milinković-Savić,SRB14,Serbia,SRB,14,SRB14 Sergej Milinković-Savić - Serbia
Nemanja Radonjić,SRB15,Serbia,SRB,15,SRB15 Nemanja Radonjić - Serbia
Andrija Živković,SRB16,Serbia,SRB,16,SRB16 Andrija Živković - Serbia
Luka Jović,SRB17,Serbia,SRB,17,SRB17 Luka Jović - Serbia
Aleksandar Mitrović,SRB18,Serbia,SRB,18,SRB18 Aleksandar Mitrović - Serbia
Dušan Tadić,SRB19,Serbia,SRB,19,SRB19 Dušan Tadić - Serbia
Dušan Vlahović,SRB20,Serbia,SRB,20,SRB20 Dušan Vlahović - Serbia
Yann Sommer,SUI3,Switzerland,SUI,3,SUI3 Yann Sommer - Switzerland
Gregor Kobel,SUI4,Switzerland,SUI,4,SUI4 Gregor Kobel - Switzerland
Manuel Akanji,SUI5,Switzerland,SUI,5,SUI5 Manuel Akanji - Switzerland
Nico Elvedi,SUI6,Switzerland,SUI,6,SUI6 Nico Elvedi - Switzerland
Kevin Mbabu,SUI7,Switzerland,SUI,7,SUI7 Kevin Mbabu - Switzerland
Ricardo Rodríguez,SUI8,Switzerland,SUI,8,SUI8 Ricardo Rodríguez - Switzerland
Fabian Schär,SUI9,Switzerland,SUI,9,SUI9 Fabian Schär - Switzerland
Silvan Widmer,SUI10,Switzerland,SUI,10,SUI10 Silvan Widmer - Switzerland
