player_name,player_id
Oliver Christensen,236758
Jens Stryger Larsen,193133
Daniel Wass,172522
Mathias Jensen,229723
Robert Skov,215449
Andreas Skov Olsen,240017
Yussuf Yurary Poulsen,207791
Mohamed Drager,242041
Wajdi Kechrida,264008
Yassine Meriah,241746
Ali Abdi,252711
Hannibal Mejbri,258171
Naim Sliti,205257
Anis Ben Slimane,255210
Issam Jebali,235236
Wahbi Khazri,194845
Marc-Andre ter Stegen,192448
Kevin Trapp,188943
Antonio Rudiger,205452
Matthias Ginter,207862
Niklas Sule,212190
David Raum,236703
Christian Gunter,209846
Nico Schlotterbeck,247819
Mario Gotze,192318
Ilkay Gundogan,186942
Julian Brandt,212194
Jamal Musiala,256790
Jonas Hofmann,210324
Thomas Muller,189596
Niclas Fullkrug,205431
Thibaut Courtois,192119
Koen Casteels,192984
Toby Alderweireld,184087
Zeno Debast,254262
Jan Vertonghen,172871
Wout Faes,235036
Timothy Castagne,222501
Thomas Meunier,202371
Thorgan Hazard,203486
Kevin De Bruyne,192985
Leander Dendoncker,212501
Youri Tielemans,216393
Hans Vanaken,200155
Axel Witsel,177413
Charles De Ketelaere,251470
Jeremy Doku,246420
Eden Hazard,183277
Dries Mertens,175943
Leandro Trossard,207421
Enzo Ebosse,241007
Nouhou Tolo,237469
Bryan Mbeumo,243014
Jean-Pierre Nsame,209973
Marko Dmitrovic,227290
Vanja Milinkovic-Savic,224836
Stefan Mitrovic,209547
Filip Mladenovic,221969
Strahinja Pavlovic,254840
Milos Veljkovic,221354
Nikola Milenkovic,238095
Nemanja Gudelj,193198
Filip Kostic,208574
Nemanja Maksimovic,239433
Sergej Milinkovic-Savic,223848
Sasa Lukic,236699
Andrija Zivkovic,220746
Uros Racic,244253
Ivan Ilic,258683
Darko Lazovic,212127
Marko Grujic,232099
Dusan Vlahovic,246430
Nemanja Radonjic,243656
Dusan Tadic,199434
Lawrence Ati Zigi,229956
Denis Odoi,185349
Tariq Lamptey,242418
Alidu Seidu,257946
Daniel Amartey,212883
Joseph Aidoo,230021
Alexander Djiku,212219
Gideon Mensah,258243
Thomas Partey,209989
Elisha Owusu,238392
Salis Abdul Samed,252059
Mohammed Kudus,245155
Kamal Sowah,244853
Osman Bukari,258608
Inaki Williams,216201
Antoine Semenyo,241236
Kamaldeen Sulemana,256035
Matias Vina,253290
Milan Borjan,205211
Dayne St Clair,247228
Steven Vitória,192528
Derek Cornelius,243009
Joel Waterman,255956
Samuel Piette,213092
Stephen Eustaquio,242380
Atiba Hutchinson,134744
Mark-Anthony Kaye,238922
Jonathan Osorio,213439
David Wotherspoon,193728
Liam Fraser,242643
Ismael Kone,264207
Tajon Buchanan,246800
Emiliano Martinez,261962
Nicolas Otamendi,261962
Marcos Acuna,261962
Nicolas Tagliafico,261962
German Pezzella,261962
Nahuel Molina,261962
Gonzalo Montiel,261962
Juan Foyth,261962
Cristian Romero,261962
Leandro Paredes,261962
Rodrigo De Paul,261962
Exequiel Palacios,261962
Enzo Fernandez,261962
Alejandro Gomez,261962
Lionel Messi 🐐,158023
